time,close,hashrate,difficulty,month,year,week_date,reward
2020-10-31,13803.41,113018366.656087,19997335994446.1,10,2020,2020-11-06,900.0
2020-11-01,13761.72,124626709.754791,19997335994446.1,11,2020,2020-11-06,900.0
2020-11-02,13571.24,94512689.7720418,19997335994446.1,11,2020,2020-11-06,900.0
2020-11-03,14023.78,123512789.700312,17865273539019.3,11,2020,2020-11-06,900.0
2020-11-04,14157.73,133719917.539109,16787779609932.7,11,2020,2020-11-06,900.0
2020-11-05,15599.92,125050875.507579,16787779609932.7,11,2020,2020-11-06,900.0
2020-11-06,15590.62,131465850.037326,16787779609932.7,11,2020,2020-11-06,900.0
2020-11-07,14838.16,122996280.529657,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-08,15488.25,117363172.293238,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-09,15335.03,153944597.923758,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-10,15313.73,122827255.991167,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-11,15707.08,123078565.689387,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-12,16306.53,133710885.690944,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-13,16332.85,116059079.091167,16787779609932.7,11,2020,2020-11-13,900.0
2020-11-14,16075.95,120261163.514123,16787779609932.7,11,2020,2020-11-20,900.0
2020-11-15,15964.7,125701635.66254,16787779609932.7,11,2020,2020-11-20,900.0
2020-11-16,16721.46,138269308.266567,17040598812944.8,11,2020,2020-11-20,900.0
2020-11-17,17681.54,138880472.94452,17596801059571.4,11,2020,2020-11-20,900.0
2020-11-18,17786.27,147839540.437486,17596801059571.4,11,2020,2020-11-20,900.0
2020-11-19,17824.64,122470303.583478,17596801059571.4,11,2020,2020-11-20,900.0
2020-11-20,18672.78,149283515.747075,17596801059571.4,11,2020,2020-11-20,900.0
2020-11-21,18704.06,148286728.069291,17596801059571.4,11,2020,2020-11-27,900.0
2020-11-22,18430.59,152675060.617924,17596801059571.4,11,2020,2020-11-27,900.0
2020-11-23,18385.74,129230450.54168,17596801059571.4,11,2020,2020-11-27,900.0
2020-11-24,19157.16,118259857.709971,17596801059571.4,11,2020,2020-11-27,900.0
