,machine_cost,tracking_error_ideal,tracking_error_true,short_shortfall_init,short_shortfall_true,weekly_liq_unhedged_init,weekly_liq_unhedged_true,unhedged_tracking_error_init,unhedged_tracking_error_true,k,lambda_C
111,1350.0,0.00046368677521699015,0.039045957995981304,0.000723929893765296,0.0026020082101596287,2000.0000438358131,3354.239257645167,-0.48148151395245414,-1.4846216723297534,11,0.9
112,1350.0,-0.0173852984133452,0.04271652490226127,-4.996003610813204e-16,0.001878078316393833,3069.8991632085326,4444.512410774029,-1.2739993801544687,-2.2922314153881698,12,0.9
113,1350.0,-0.016377236929285877,0.05321017389861626,8.881784197001252e-16,0.0018780783163952208,2585.0937168777104,3947.2568129356137,-0.91488423472423,-1.923893935507862,13,0.9
114,1350.0,0.14360611559146436,0.008512445295796447,0.10341031023715938,7.359131706894187e-05,112.95129712740321,333.9197127264634,0.9163323724982199,0.7526520646470642,14,0.9
115,1350.0,-0.01583014046246477,0.033314679065093625,-3.3306690738754696e-16,0.0018780783163939996,3101.596852254989,4469.6804552888,-1.2974791498185103,-2.310874411325037,15,0.9
116,1350.0,-0.004231501533028463,0.014665067961930569,0.0007213043450490786,0.0018576329669086622,2273.614574322507,3613.749181712476,-0.6841589439425978,-1.6768512457129452,16,0.9
117,1350.0,-0.011951073976629315,0.027450207895024097,1.304512053934559e-15,0.0018780783163956372,1006.5575341685402,2346.3462096910393,0.2544018265418221,-0.7380342294007699,17,0.9
118,1350.0,-0.015222743407671413,0.026270146106168454,6.106226635438361e-16,0.0018780783163949433,1957.0767837884678,3311.806606979359,-0.4496865065099761,-1.4531900792439696,18,0.9
119,1350.0,0.44775204074857544,0.03857332193770315,0.06282495344886173,0.005702130224243998,409.78570552342086,1077.5964132531783,0.6964550329456142,0.20178043462727532,19,0.9
120,1350.0,-0.016949884211244267,0.029659584098360284,7.771561172376096e-16,0.0018780783163951098,3067.180891005083,4438.30877570442,-1.2719858451889505,-2.2876361301514225,20,0.9
121,1350.0,0.00874409893020179,0.015091686673491096,0.0014452342388136807,0.0018373149931606436,1467.6926916729715,2778.2993610982167,-0.0871797716096085,-1.0579995267394198,21,0.9
122,1350.0,-0.015010265323511166,0.0594447297899697,4.996003610813204e-16,0.0018780783163948322,2689.703541579968,4064.7748347756637,-0.9923729937629391,-2.010944322056047,22,0.9
123,1350.0,-0.014868664444346761,0.039717432609831134,-6.938893903907228e-16,0.0018780783163936388,1939.4083701216086,3294.1044700146035,-0.43659879268267304,-1.4400773851960027,23,0.9
124,1350.0,-0.015803111501378662,0.08676002877039841,3.0531133177191805e-16,0.001878078316394638,3630.254000441253,5021.550011027824,-1.6890770373638913,-2.7196666748354255,24,0.9
125,1350.0,-0.01438397910128079,0.020137671550662,-1.1102230246251565e-16,0.0018780783163942216,1904.895326056479,3260.2629168749786,-0.4110335748566511,-1.4150095680555397,25,0.9
126,1350.0,-0.016404908937635597,0.13043938761558144,6.106226635438361e-16,0.0018780783163949433,7055.943493458728,8515.099016576653,-4.226624809969428,-5.3074807530197425,26,0.9
127,1350.0,0.08708604211692197,0.018671139901259248,0.0065582010658977175,0.0017625058910062524,686.8734608968223,1932.4857006494522,0.49120484378013163,-0.4314708893699646,27,0.9
128,1350.0,0.33496775101134,0.010387923100150614,0.05983782235021977,0.0022775153700818757,321.7200648065418,990.4671260527658,0.7616888408840431,0.2663206473683216,28,0.9
129,1350.0,-0.016245374702139624,0.094619156466696,-8.326672684688674e-17,0.0018780783163942494,5238.2852849946,6660.884392547121,-2.8802113222182224,-3.933988438923793,29,0.9
130,1350.0,0.4130224582489741,0.019497858803237695,0.024926293014243192,0.0014612991051923818,760.649333198578,1817.7531037976662,0.4365560494825348,-0.3464837805908639,30,0.9
131,1350.0,0.07837512804053923,0.0005673048112427234,0.07622789540618131,0.0003196738202036198,400.0798792846559,879.1934605509247,0.7036445338632179,0.34874558477709283,31,0.9
132,1350.0,-0.01623585348387977,0.08307059864814055,1.7208456881689926e-15,0.0018780783163960535,3735.8349408491044,5125.376890739597,-1.767285141369707,-2.796575474621924,32,0.9
133,1350.0,0.0010246942242034466,0.004789489084378573,0.0014452342388144024,0.0018373149931613653,1124.0567082936536,2426.6453397486102,0.16736540126396027,-0.797515066480452,33,0.9
134,1350.0,-0.017597412106811972,0.14340122525938537,4.440892098500626e-16,0.0018780783163947767,9997.922178501376,11517.963628970887,-6.40586828037139,-7.5318249103488055,34,0.9
135,1350.0,0.009604362777149246,0.015855864760765982,0.0014452342388139028,0.0018373149931608657,1565.5416476400314,2875.1867050488054,-0.15966047973335662,-1.1297679296657817,35,0.9
136,1350.0,0.23818089354142746,-0.0005535774427232625,0.03668252503435443,0.0010092434762957597,514.8854381295245,1408.953924436457,0.6186033791633152,-0.04366957365663489,36,0.9
137,1350.0,0.009746567622644378,0.015734904036701795,0.0014452342388148465,0.0018373149931618094,1028.0400857047616,2330.2707273536575,0.23848882540388028,-0.726126464706413,37,0.9
138,1350.0,0.22860928420165483,0.03894319867895737,0.026784968434343623,0.004712539427894236,406.64849840382425,1475.2166541086017,0.6987788900712413,-0.09275307711748274,38,0.9
139,1350.0,0.7775029632580367,0.001415981967903287,0.08695326492011884,0.00020884347473010267,277.7169022412617,652.969354705381,0.7942837761175838,0.5163189965145326,39,0.9
140,1350.0,0.002535734985618324,0.006989696450918375,0.0014452342388141248,0.0018373149931610877,1464.1864768349772,2772.4018191556456,-0.08458257543331642,-1.05363097715233,40,0.9
141,1350.0,-0.016099964761264417,0.043093651825178304,1.3877787807814457e-16,0.0018780783163944714,2326.0544807341334,3691.9556276184435,-0.7230033190623211,-1.7347819463840322,41,0.9
142,1350.0,-0.011665253608705827,0.031181130495082126,8.326672684688674e-16,0.0018780783163951653,1461.355820807273,2809.9704297984463,-0.08248579319057256,-1.0814595776284788,42,0.9
143,1350.0,0.5863280212913234,0.005277477811985205,0.09053443627442789,0.00017245152010727377,231.57483864712486,572.4264813466325,0.8284630824836112,0.5759803841876796,43,0.9
144,1350.0,-0.016255646589927786,0.03097985023143047,8.326672684688674e-17,0.001878078316394416,2899.783881568911,4272.201621748077,-1.1479880604214157,-2.164593793887464,44,0.9
145,1350.0,-0.0009282041340287896,0.019928017899884316,0.0007239298937655458,0.0018577603426472578,1257.5256099025626,2580.582513147308,0.06849954822032403,-0.9115426023313392,45,0.9
